times,actRea,egoAcc,actVel,actAcc,disInit,DTC,PET,CriticalSpeed,PETcondition,CScondition,isCollision
1,1.3,1,48,0.5,82,-1.33590355480033,0,0,risky,risky,Failed
1,1.3,1,48,0.5,83,-1.12869967896961,0,0,risky,risky,Failed
1,1.3,1,48,0.5,84,-0.917532812405913,0,0,risky,risky,Failed
1,1.3,1,48,0.5,85,-0.699954534164152,0,0,risky,risky,Failed
1,1.3,1,48,0.5,86,-0.477670769849805,0,0,risky,risky,Failed
1,1.3,1,48,0.5,82,-1.33590355480033,0,0,risky,risky,Failed
1,1.3,1,48,0.5,83,-1.12869967896961,0,0,risky,risky,Failed
1,1.3,1,48,0.5,84,-0.917532812405913,0,0,risky,risky,Failed
1,1.3,1,48,0.5,85,-0.699954534164152,0,0,risky,risky,Failed
1,1.3,1,48,0.5,86,-0.477670769849805,0,0,risky,risky,Failed
1,1.3,1,48,0.5,87,-0.55684410062102,-993159,-15588.623664,risky,risky,Success
1,1.3,1,48,0.5,88,-0.318251319367712,-993079,-15587.367984,risky,risky,Success
1,1.3,1,48,0.5,89,-0.0791215779461965,40.0000000000009,0.627840000000014,risky,risky,Success
1,1.3,1,48,0.5,90,0.163825054796545,120.000000000001,1.88352000000001,risky,risky,Success
1,1.3,1,48,0.5,91,0.388926794869122,220,3.45312,risky,risky,Success
1,1.3,1,48,0.5,92,0.685697354195913,300,4.7088,risky,risky,Success
1,1.3,1,48,0.5,93,1.11339000730547,400,6.2784,risky,risky,Success
1,1.3,1,48,0.5,94,1.65000644075888,480,7.53408,risky,risky,Success
1,1.3,1,48,0.5,95,2.27441538072844,580.000000000001,9.10368000000001,risky,risky,Success
1,1.3,1,48,0.5,96,2.96804969499215,660.000000000001,10.35936,risky,risky,Success
1,1.3,1,48,0.5,97,3.71590936850911,760,11.92896,risky,risky,Success
1,1.3,1,48,0.5,98,4.50628758566942,840,13.18464,risky,risky,Success
1,1.3,1,48,0.5,99,5.33019460204956,940,14.75424,risky,risky,Success
1,1.3,1,48,0.5,100,6.1807610132782,1020,16.00992,risky,risky,Success
1,1.3,1,48,0.5,101,7.05272784152677,1120,17.57952,risky,risky,Success
1,1.3,1,48,0.5,102,7.94204552975398,1200,18.8352,risky,risky,Success
1,1.3,1,48,0.5,103,8.84557081508835,1300,20.4048,risky,risky,Success
1,1.3,1,48,0.5,104,9.76084169837966,1380,21.66048,risky,risky,Success
1,1.3,1,48,0.5,105,10.6859114520561,1480,23.23008,risky,risky,Success
1,1.3,1,48,0.5,106,11.6192261383455,1560,24.48576,risky,risky,Success
1,1.3,1,48,0.5,107,12.5595338510642,1660,26.05536,risky,risky,Success
1,1.3,1,48,0.5,108,13.50581702813,1740,27.31104,risky,risky,Success
1,1.3,1,48,0.5,109,14.4572415792241,1840,28.88064,risky,risky,Success
1,1.3,1,48,0.5,110,15.4131183309376,1920,30.13632,risky,risky,Success
1,1.3,1,48,0.5,111,16.3728735550918,2020,31.70592,risky,risky,Success
1,1.3,1,48,0.5,112,17.3360262461622,2100,32.9616,risky,risky,Success
1,1.3,1,48,0.5,113,18.3021704539953,2200,34.5312,risky,risky,Success
1,1.3,1,48,0.5,114,19.2709614343006,2280,35.78688,risky,risky,Success
1,1.3,1,48,0.5,115,20.242104706039,2380,37.35648,risky,risky,Success
1,1.3,1,48,0.5,116,21.2153473400297,2460,38.61216,risky,risky,Success
1,1.3,1,48,0.5,117,22.1904709736129,2560,40.18176,risky,safety,Success
1,1.3,1,48,0.5,118,23.1672861707257,2640,41.43744,risky,safety,Success
1,1.3,1,48,0.5,119,24.1456278383588,2740,43.00704,risky,safety,Success
1,1.3,1,48,0.5,120,25.1253514782725,2820,44.26272,risky,safety,Success
1,1.3,1,48,0.5,121,26.106330103574,2920,45.83232,risky,safety,Success
1,1.3,1,48,0.5,122,27.0884516879151,3000,47.088,risky,safety,Success
1,1.3,1,48,0.5,123,28.0716170439935,3100,48.6576,safety,safety,Success
1,1.3,1,48,0.5,124,29.0557380501053,3180,49.91328,safety,safety,Success
1,1.3,1,48,0.5,125,30.0407361604571,3280,51.48288,safety,safety,Success
1,1.3,1,48,0.5,126,31.0265411480506,3360,52.73856,safety,safety,Success
1,1.3,1,48,0.5,127,32.0130900391661,3460,54.30816,safety,safety,Success
1,1.3,1,48,0.5,128,33.0003262064497,3540,55.56384,safety,safety,Success
1,1.3,1,48,0.5,129,33.988198593911,3640,57.13344,safety,safety,Success
1,1.3,1,48,0.5,130,34.9766610521114,3720,58.38912,safety,safety,Success
