times,actRea,egoAcc,actSpeed,actAcc,disInit,DTC,PET,CriticalSpeed,PETcondition,CScondition,isCollision
1,0,1,39,0,117,33.4197017470023,3740,58.70304,safety,safety,Success
2,0,1,39,0,118,34.4129945883213,3840,60.27264,safety,safety,Success
3,0,1,39,0,119,35.4066100348936,3920,61.52832,safety,safety,Success
4,0,1,39,0,120,36.4005248193621,4020,63.09792,safety,safety,Success
5,0,1,40,0,82.8,-0.224847176584905,0,0,risky,risky,Failed
6,0,1,40,0,83,-0.194406315313034,0,0,risky,risky,Failed
7,0,1,40,0,84,0.312899492858376,500,7.848,risky,risky,Success
8,0,1,40,0,85,1.0248086669551,600,9.4176,risky,risky,Success
9,0,1,40,0,86,1.8010357949369,680,10.67328,risky,risky,Success
10,0,1,40,0,87,2.62420000569679,780,12.24288,risky,risky,Success
11,0,1,40,0,88,3.48178842689835,860,13.49856,risky,risky,Success
12,0,1,40,0,89,4.36520095118152,960,15.06816,risky,risky,Success
13,0,1,40,0,90,5.26832309518401,1040,16.32384,risky,risky,Success
14,0,1,40,0,91,6.18668631432255,1140,17.89344,risky,risky,Success
1,0,1,39,0,117,33.4197017470023,3740,58.70304,safety,safety,Success
2,0,1,39,0,118,34.4129945883213,3840,60.27264,safety,safety,Success
3,0,1,39,0,119,35.4066100348936,3920,61.52832,safety,safety,Success
4,0,1,39,0,120,36.4005248193621,4020,63.09792,safety,safety,Success
5,0,1,40,0,82.8,-0.224847176584905,0,0,risky,risky,Failed
6,0,1,40,0,83,-0.194406315313034,0,0,risky,risky,Failed
7,0,1,40,0,84,0.312899492858376,500,7.848,risky,risky,Success
8,0,1,40,0,85,1.0248086669551,600,9.4176,risky,risky,Success
9,0,1,40,0,86,1.8010357949369,680,10.67328,risky,risky,Success
10,0,1,40,0,87,2.62420000569679,780,12.24288,risky,risky,Success
11,0,1,40,0,88,3.48178842689835,860,13.49856,risky,risky,Success
12,0,1,40,0,89,4.36520095118152,960,15.06816,risky,risky,Success
13,0,1,40,0,90,5.26832309518401,1040,16.32384,risky,risky,Success
14,0,1,40,0,91,6.18668631432255,1140,17.89344,risky,risky,Success
1,0,1,39,0,117,33.4197017470023,3740,58.70304,safety,safety,Success
2,0,1,39,0,118,34.4129945883213,3840,60.27264,safety,safety,Success
3,0,1,39,0,119,35.4066100348936,3920,61.52832,safety,safety,Success
4,0,1,39,0,120,36.4005248193621,4020,63.09792,safety,safety,Success
5,0,1,40,0,82.8,-0.224847176584905,0,0,risky,risky,Failed
6,0,1,40,0,83,-0.194406315313034,0,0,risky,risky,Failed
7,0,1,40,0,84,0.312899492858376,500,7.848,risky,risky,Success
8,0,1,40,0,85,1.0248086669551,600,9.4176,risky,risky,Success
9,0,1,40,0,86,1.8010357949369,680,10.67328,risky,risky,Success
10,0,1,40,0,87,2.62420000569679,780,12.24288,risky,risky,Success
11,0,1,40,0,88,3.48178842689835,860,13.49856,risky,risky,Success
12,0,1,40,0,89,4.36520095118152,960,15.06816,risky,risky,Success
13,0,1,40,0,90,5.26832309518401,1040,16.32384,risky,risky,Success
14,0,1,40,0,91,6.18668631432255,1140,17.89344,risky,risky,Success
